time,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2026-08-20T03:00,30.6,68,11.6,Chennai
2026-08-20T04:00,32.3,59,11.0,Chennai
2026-08-20T05:00,33.8,54,10.7,Chennai
2026-08-20T06:00,34.8,50,11.0,Chennai
2026-08-20T07:00,35.3,48,8.9,Chennai
2026-08-20T08:00,35.8,45,7.1,Chennai
2026-08-20T09:00,34.9,47,3.4,Chennai
2026-08-20T10:00,32.5,60,11.9,Chennai
2026-08-20T11:00,31.0,69,14.1,Chennai
2026-08-20T12:00,30.8,66,11.4,Chennai
2026-08-20T13:00,30.2,73,11.6,Chennai
2026-08-20T14:00,29.7,79,15.0,Chennai
2026-08-20T15:00,29.3,83,15.0,Chennai
2026-08-20T16:00,28.8,79,14.9,Chennai
2026-08-20T17:00,28.1,79,18.5,Chennai
2026-08-20T18:00,26.8,83,14.0,Chennai
2026-08-20T19:00,25.0,94,23.2,Chennai
2026-08-20T20:00,25.2,93,14.8,Chennai
2026-08-20T21:00,25.2,94,12.1,Chennai
2026-08-20T22:00,25.3,94,11.6,Chennai
2026-08-20T23:00,25.4,94,10.3,Chennai
2026-08-21T00:00,25.5,93,10.3,Chennai
2026-08-21T01:00,25.9,90,10.2,Chennai
2026-08-21T02:00,27.3,86,9.0,Chennai
2026-08-21T03:00,29.2,74,10.9,Chennai
2026-08-21T04:00,30.8,62,11.9,Chennai
2026-08-21T05:00,32.0,57,10.1,Chennai
2026-08-21T06:00,33.0,53,10.5,Chennai
2026-08-21T07:00,34.0,51,11.0,Chennai
2026-08-21T08:00,34.8,48,9.2,Chennai
2026-08-21T09:00,35.0,48,7.5,Chennai
2026-08-21T10:00,34.4,49,5.7,Chennai
2026-08-21T11:00,32.6,56,7.4,Chennai
2026-08-21T12:00,31.7,59,9.6,Chennai
2026-08-21T13:00,30.4,69,12.9,Chennai
2026-08-21T14:00,29.6,73,11.1,Chennai
2026-08-21T15:00,29.1,74,10.0,Chennai
2026-08-21T16:00,28.7,75,10.6,Chennai
2026-08-21T17:00,28.5,74,9.9,Chennai
2026-08-21T18:00,27.8,76,9.1,Chennai
2026-08-21T19:00,27.2,78,5.7,Chennai
2026-08-21T20:00,27.5,78,7.9,Chennai
2026-08-21T21:00,27.5,79,10.2,Chennai
2026-08-21T22:00,27.1,80,9.7,Chennai
2026-08-21T23:00,26.9,82,9.6,Chennai
2026-08-22T00:00,26.8,81,10.3,Chennai
2026-08-22T01:00,26.8,73,11.1,Chennai
2026-08-22T02:00,28.0,66,9.7,Chennai
2026-08-22T03:00,29.8,58,12.6,Chennai
2026-08-22T04:00,31.3,53,13.4,Chennai
2026-08-22T05:00,32.5,50,11.2,Chennai
2026-08-22T06:00,33.6,48,14.1,Chennai
2026-08-22T07:00,34.9,43,14.1,Chennai
2026-08-22T08:00,35.9,40,12.6,Chennai
2026-08-22T09:00,36.4,38,6.2,Chennai
2026-08-22T10:00,35.2,43,6.6,Chennai
2026-08-22T11:00,33.8,55,11.1,Chennai
2026-08-22T12:00,32.5,63,14.3,Chennai
2026-08-22T13:00,30.9,70,16.6,Chennai
2026-08-22T14:00,30.3,69,19.3,Chennai
2026-08-22T15:00,27.7,77,15.3,Chennai
2026-08-22T16:00,26.3,87,12.0,Chennai
2026-08-22T17:00,26.4,85,13.7,Chennai
2026-08-22T18:00,25.4,92,14.4,Chennai
2026-08-22T19:00,25.5,91,6.1,Chennai
2026-08-22T20:00,25.4,92,8.4,Chennai
2026-08-22T21:00,25.4,93,9.8,Chennai
2026-08-22T22:00,25.8,88,11.3,Chennai
2026-08-22T23:00,26.0,89,11.5,Chennai
2026-08-23T00:00,25.9,90,9.7,Chennai
2026-08-23T01:00,26.1,89,9.4,Chennai
2026-08-23T02:00,27.3,83,8.7,Chennai
2026-08-23T03:00,29.2,70,10.5,Chennai
2026-08-23T04:00,30.8,60,11.8,Chennai
2026-08-23T05:00,32.0,56,10.6,Chennai
2026-08-23T06:00,33.1,54,11.9,Chennai
2026-08-23T07:00,34.1,51,12.8,Chennai
2026-08-23T08:00,34.6,49,11.7,Chennai
2026-08-23T09:00,35.3,48,9.6,Chennai
2026-08-23T10:00,35.0,48,8.4,Chennai
2026-08-23T11:00,32.7,64,15.1,Chennai
2026-08-23T12:00,31.1,73,16.4,Chennai
2026-08-23T13:00,30.1,76,13.5,Chennai
2026-08-23T14:00,28.4,81,15.3,Chennai
2026-08-23T15:00,27.0,93,9.6,Chennai
2026-08-23T16:00,26.8,90,14.5,Chennai
2026-08-23T17:00,26.0,89,12.8,Chennai
2026-08-23T18:00,24.7,96,12.5,Chennai
